,0,1
1757,Female characters,Ms. Bloomenstein
1758,Female characters,Blue-eyed wife
1759,Female characters,Bluella
1760,Female characters,Bob's Groomer
1761,Female characters,Bob's Merchandising Team
1762,Female characters,Shary Bobbins
1763,Female characters,Bonnie and Clyde
1764,Female characters,Bonnie Flanders
1765,Female characters,Bonnie Swanson
1766,Female characters,Booby-Sue
1767,Female characters,Bort's Mother
1768,Female characters,Bossy Riot
1769,Female characters,Bouncing Battle Baby
1770,Female characters,Bambi Bouvier
1771,Female characters,Charlene Bouvier
1772,Female characters,Dotty Bouvier
1773,Female characters,Jacqueline Bouvier
1774,Female characters,Ling Bouvier
1775,Female characters,Patty Bouvier
1776,Female characters,Selma Bouvier
1777,Female characters,Tootsie Bouvier
1778,Female characters,BrainBaby
1779,Female characters,Brandy Mouton
1780,Female characters,Brenda
1781,Female characters,Brenda Weingarten
1782,Female characters,Brigitte Divan
1783,Female characters,British waitress
1784,Female characters,Brittany (Krusty Gets Busted)
1785,Female characters,Brittany (Student)
1786,Female characters,Brittany Spuckler
1787,Female characters,Brittany Brockman
1788,Female characters,Stephanie Brockman
1789,Female characters,Brooke Shields (character)
1790,Female characters,Brothers and sisters of Chin Ho and Chan Ho
1791,Female characters,Brown Long Haired Girl
1792,Female characters,Brown-haired girl
1793,Female characters,Brunella Pommelhorst
1794,Female characters,Bryce Dallas Howard
1795,Female characters,Buck-toothed girl
1796,Female characters,Building Owner
1797,Female characters,Burns' Nanny
1798,Female characters,Burns' Vampire Minions
1799,Female characters,Chastity Temperance Burns
1800,Female characters,Cordelia Burns
1801,Female characters,Daphne Burns
1802,Female characters,"Bus Driver (Sunday, Cruddy Sunday)"
1803,Female characters,Busbabe
1804,Female characters,Barbara Bush
1805,Female characters,Butterfly
1806,Female characters,Bébé DeBoeuf
1807,Female characters,Caitlin (Waverly Hills 9-0-2-1-D'oh)
1808,Female characters,Caitlin Spuckler
1809,Female characters,"Caitlin, Katelyn and Kate Lynn"
1810,Female characters,Calliope Juniper
1811,Female characters,Calmwood Nurse
1812,Female characters,Calypso Self-Knowledge
1813,Female characters,Camp Land a Man Instructor
1814,Female characters,Camping Baby
1815,Female characters,Camping Woman
1816,Female characters,Candace
1817,Female characters,Candy
1818,Female characters,Candy Baby's mother
1819,Female characters,Ms. Cantwell
1820,Female characters,Carl Carlson's annual affair
